LNR,RESPONSE
1754,1
1770,0
1465,1
1470,0
1478,1
1782,1
1485,1
1519,1
1835,1
1522,1
1539,1
1853,1
1856,1
2502,1
2182,1
2191,0
2522,0
2530,1
2215,1
2550,0
2570,1
2574,1
2579,0
2247,1
2674,1
11434,1
11122,1
11127,1
11443,1
11170,0
11191,1
11198,0
10936,0
11244,1
11247,1
11252,1
11259,0
10945,1
10951,1
11271,0
10963,1
11282,0
11291,1
10980,1
10994,0
10998,0
11303,1
11630,1
11636,1
11949,1
11950,1
11956,1
11648,0
11653,1
11967,1
11972,1
11975,1
12110,1
12113,0
11712,1
11716,0
12000,0
11722,1
12023,0
12046,0
11762,0
12071,1
12077,1
11785,1
11788,0
11790,1
11800,1
11806,0
11816,1
11505,1
11837,1
11531,0
11848,1
11854,1
11877,1
11563,0
11567,1
11894,0
11906,1
11917,0
11610,0
11923,0
12596,0
12603,0
12608,1
12633,1
12637,1
21484,0
21184,1
21247,1
20991,1
21018,0
21019,1
21047,0
21054,1
21374,0
21392,1
21713,1
22019,1
22025,1
21722,0
21728,1
22039,0
22044,1
61900,1
62548,0
63176,1
64473,1
64779,1
64780,0
64784,1
65105,0
65431,1
65433,1
66055,0
66071,0
61280,1
61281,0
61284,1
61597,1
61606,1
62235,0
62240,1
62241,1
62555,0
62557,0
62565,0
62566,1
63515,1
63524,1
64797,1
65116,0
75249,1
75253,1
75575,0
76212,1
71422,0
72059,1
72060,1
72383,0
72386,1
72700,1
72715,1
73028,1
73346,1
73658,0
73662,0
73666,0
73668,0
73985,0
74299,1
74310,1
74312,0
74619,1
74620,0
74627,0
74938,0
74952,1
75911,1
75913,0
76221,1
76227,1
71448,1
15887,1
15498,0
15504,1
15507,1
15521,1
24403,1
24100,1
24436,1
24440,1
24442,0
24148,1
24149,1
24155,0
24458,1
24169,1
24477,0
24479,1
24486,0
24190,0
24515,1
24214,1
25183,0
25207,0
24889,0
24890,1
25226,0
25232,0
25244,1
25339,0
25355,1
24958,1
25277,1
25286,1
24988,0
25298,0
25309,0
25315,0
25014,0
25322,1
25333,1
25025,0
24726,0
24735,0
25055,0
25056,1
24746,0
25061,1
25067,0
25074,0
24773,0
25080,0
25086,1
25088,1
24777,0
24796,1
25104,0
24806,1
25118,1
24822,0
82811,1
83449,0
83459,0
83770,0
84091,0
84096,0
84737,1
85048,0
85049,1
85051,1
85369,1
85374,0
85380,1
82190,1
82505,0
82515,0
82517,1
82821,0
83140,0
788,1
1102,0
1109,1
821,0
829,1
837,1
845,0
1163,0
861,0
899,1
1207,1
906,0
1221,1
1545,1
1546,0
1555,0
1556,0
1879,1
1885,1
1593,1
1902,0
1611,1
1921,1
1927,1
1651,1
1978,0
1718,1
1722,1
1734,1
41705,1
41711,0
41712,1
42029,0
